,area_width,area_height,number_of_sensor_nodes,rails,minimum_transmission_range,maximum_transmission_range,message_size,initial_energy,Emov,Eelec,Eamp,minimum_number_of_obstacles,maximum_number_of_obstacles
Param1,3000,3000,100,15|45|75,50,100,5000000,10000,1,5E-08,1E-11,5,10
Param2,2000,2000,100,15|45|75,50,100,5000000,10000,1,5E-08,1E-11,5,10
